DriverNumber,Driver,TeamName,GridPosition,FinishPosition,Points,Status,Laps,Year,Race,avg_temp,avg_rainfall,is_wet_race,DNF
27,HUL,Haas F1 Team,15.0,10.0,1.0,Finished,50.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,0
23,ALB,Williams,12.0,11.0,0.0,Finished,50.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,0
20,MAG,Haas F1 Team,13.0,12.0,0.0,Finished,50.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,0
31,OCO,Alpine,17.0,13.0,0.0,Lapped,49.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,1
2,SAR,Williams,19.0,14.0,0.0,Lapped,49.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,1
22,TSU,RB,9.0,15.0,0.0,Lapped,49.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,1
3,RIC,RB,14.0,16.0,0.0,Lapped,49.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,1
77,BOT,Kick Sauber,16.0,17.0,0.0,Lapped,49.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,1
24,ZHO,Kick Sauber,20.0,18.0,0.0,Lapped,49.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,1
18,STR,Aston Martin,10.0,19.0,0.0,Retired,5.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,1
10,GAS,Alpine,18.0,20.0,0.0,Retired,1.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,1
55,SAI,Ferrari,2.0,1.0,25.0,Finished,58.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,0
16,LEC,Ferrari,4.0,2.0,19.0,Finished,58.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,0
4,NOR,McLaren,3.0,3.0,15.0,Finished,58.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,0
81,PIA,McLaren,5.0,4.0,12.0,Finished,58.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,0
11,PER,Red Bull Racing,6.0,5.0,10.0,Finished,58.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,0
18,STR,Aston Martin,9.0,6.0,8.0,Finished,58.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,0
22,TSU,RB,8.0,7.0,6.0,Finished,58.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,0
14,ALO,Aston Martin,10.0,8.0,4.0,Finished,58.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,0
27,HUL,Haas F1 Team,16.0,9.0,2.0,Finished,58.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,0
20,MAG,Haas F1 Team,14.0,10.0,1.0,Lapped,57.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,1
23,ALB,Williams,12.0,11.0,0.0,Lapped,57.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,1
3,RIC,RB,18.0,12.0,0.0,Lapped,57.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,1
10,GAS,Alpine,17.0,13.0,0.0,Lapped,57.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,1
77,BOT,Kick Sauber,13.0,14.0,0.0,Lapped,57.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,1
24,ZHO,Kick Sauber,19.0,15.0,0.0,Lapped,57.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,1
31,OCO,Alpine,15.0,16.0,0.0,Lapped,57.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,1
63,RUS,Mercedes,7.0,17.0,0.0,Retired,56.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,1
44,HAM,Mercedes,11.0,18.0,0.0,Retired,15.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,1
1,VER,Red Bull Racing,1.0,19.0,0.0,Retired,3.0,2024,Australian Grand Prix,20.62222222222222,0.0,0,1
1,VER,Red Bull Racing,1.0,1.0,26.0,Finished,53.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,0
11,PER,Red Bull Racing,2.0,2.0,18.0,Finished,53.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,0
55,SAI,Ferrari,4.0,3.0,15.0,Finished,53.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,0
16,LEC,Ferrari,8.0,4.0,12.0,Finished,53.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,0
4,NOR,McLaren,3.0,5.0,10.0,Finished,53.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,0
14,ALO,Aston Martin,5.0,6.0,8.0,Finished,53.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,0
63,RUS,Mercedes,9.0,7.0,6.0,Finished,53.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,0
