DriverNumber,Driver,TeamName,GridPosition,FinishPosition,Points,Status,Laps,Year,Race,avg_temp,avg_rainfall,is_wet_race,DNF
55,SAI,Ferrari,1.0,1.0,25.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
11,PER,Red Bull Racing,4.0,2.0,18.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
44,HAM,Mercedes,5.0,3.0,16.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
16,LEC,Ferrari,3.0,4.0,12.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
14,ALO,Alpine,7.0,5.0,10.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
4,NOR,McLaren,6.0,6.0,8.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
1,VER,Red Bull Racing,2.0,7.0,6.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
47,MSC,Haas F1 Team,19.0,8.0,4.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
5,VET,Aston Martin,18.0,9.0,2.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
20,MAG,Haas F1 Team,17.0,10.0,1.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
18,STR,Aston Martin,20.0,11.0,0.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
6,LAT,Williams,10.0,12.0,0.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
3,RIC,McLaren,14.0,13.0,0.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
22,TSU,AlphaTauri,13.0,14.0,0.0,Finished,52.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,0
31,OCO,Alpine,15.0,15.0,0.0,Fuel pump,37.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,1
10,GAS,AlphaTauri,11.0,16.0,0.0,Collision damage,26.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,1
77,BOT,Alfa Romeo,12.0,17.0,0.0,Gearbox,20.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,1
63,RUS,Mercedes,8.0,18.0,0.0,Collision,0.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,1
24,ZHO,Alfa Romeo,9.0,19.0,0.0,Collision,0.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,1
23,ALB,Williams,16.0,20.0,0.0,Collision,0.0,2022,Pre-Season Track Session,18.25320197044335,0.04433497536945813,1,1
1,VER,Red Bull Racing,2.0,1.0,25.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
44,HAM,Mercedes,3.0,2.0,18.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
16,LEC,Ferrari,12.0,3.0,15.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
11,PER,Red Bull Racing,9.0,4.0,12.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
63,RUS,Mercedes,4.0,5.0,11.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
4,NOR,McLaren,6.0,6.0,8.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
14,ALO,Alpine,14.0,7.0,6.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
5,VET,Aston Martin,10.0,8.0,4.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
20,MAG,Haas F1 Team,13.0,9.0,2.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
22,TSU,AlphaTauri,19.0,10.0,1.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
31,OCO,Alpine,0.0,11.0,0.0,Finished,56.0,2022,Pre-Season Test,29.28529411764706,0.0,0,0
